id_acidente;codloga;logradouroA;codlogb;logradouroB;alt_num;referencia;data;cod_acid;tipo_acidente;dp;numero_BO;sentido;pista;automovel;moto;onibus;caminhao;bicicleta;moto_taxi;onibus_fretado;onibus_urbano;microonibus;van;vuc;caminhonete;carreta;jipe;outros;sem_informacao;carroca;princ_a;paiA;princ_b;paiB;cod_distrito;distrito;vit_ferida;vit_morta
D011301590;17824;SAPOPEMBA, AV;;;17765;;01/01/2013 00:30;2;CO;55;5; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17824;SAPOPEMBA, AV;;;33;IPIRANGA;2;0
D011301715;8438;GUAVIRUTUBA, ES;;;1356;;01/01/2013 00:50;2;CF;11;352; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8438;GUAVIRUTUBA, ES;;;42;JARDIM ANGELA;0;1
D011300519;65051;FRANCISCO DA CUNHA MENEZES, RUA;;;751;;01/01/2013 01:00;2;CF;46;3; ; ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65051;FRANCISCO DA CUNHA MENEZES, RUA;;;52;MARSILAC;1;0
D011301313;25151;GILBERTO FREYRE, RUA;;;54;;01/01/2013 01:17;4;AT;101;6; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;25151;GILBERTO FREYRE, RUA;;;32;IGUATEMI;1;0
D011301187;25252;TRES CORACOES, RUA;;;479;;01/01/2013 01:33;4;AT;85;5; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25252;TRES CORACOES, RUA;;;32;IGUATEMI;1;0
D011301140;9529;ITAPECERICA, ES DE;;;8100;;01/01/2013 01:49;2;SI;47;6; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9529;ITAPECERICA, ES DE;;;29;FREGUESIA DO O;3;0
D011301610;9580;ITAQUERA, AV;;;4118;;01/01/2013 03:00;2;CH;66;7; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9580;ITAQUERA, AV;;;24;CIDADE LIDER;2;0
D011301357;2396;ASCENSO FERNANDES, RUA;;;613;;01/01/2013 03:30;2;CO;22;510; ; ;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2396;ASCENSO FERNANDES, RUA;;;43;JARDIM HELENA;1;0
D011301665;3771;INAJAR DE SOUZA, AV;;;0;PROXIMO  - TERM CACHO;01/01/2013 03:45;2;CH;28;5;B; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3771;INAJAR DE SOUZA, AV;;;50;LIMAO;5;1
D011301731;6350;JOAO LANHOSO, RUA;;;53;;01/01/2013 04:50;4;AT;95;4; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6350;JOAO LANHOSO, RUA;;;69;SACOMA;1;1
D011301666;8818;HONORATO DAS NEVES, RUA;;;218;;01/01/2013 06:30;2;CF;74;13;C; ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8818;HONORATO DAS NEVES, RUA;;;40;JAGUARE;1;1
D011301088;10270;JOAO DIAS, AV;;;2054;;01/01/2013 06:50;2;CH;11;10; ; ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10270;JOAO DIAS, AV;;;72;SANTO AMARO;2;0
D011300565;68371;JULIANTE VIGNA, RUA;;;100;;01/01/2013 07:00;2;QM;75;7; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68371;JULIANTE VIGNA, RUA;;;13;CACHOEIRINHA;1;0
D011300460;14267;MORUMBI, AV;;;7010;;01/01/2013 07:30;2;QM;34;3; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14267;MORUMBI, AV;;;55;MORUMBI;2;0
D011300249;35829;MOREIRA GUIMARAES, AV;14050;MIRUNA, AV;0;;01/01/2013 09:51;2;CO;27;14; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14050;MIRUNA, AV;35829;MOREIRA GUIMARAES, AV;53;MOEMA;1;0
D011301414;2185;ARICANGA, RUA;;;200;;01/01/2013 11:01;2;CH;59;5; ; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2185;ARICANGA, RUA;;;86;VILA CURUCA;1;0
D011300564;1363;JORGE WARD, RUA;13019;ESCOLA POLITECNICA, AV;0;;01/01/2013 11:30;2;CO;51;900003; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1363;JORGE WARD, RUA;22165;PABLO CASALS, AV;45;JARDIM SAO LUIS;1;0
D011300416;11789;LEOPOLDO COUTO MAGALHAES JR., RUA;6897;FARIA LIMA, AV BRIG;0;;01/01/2013 13:00;2;CV;15;1; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6897;FARIA LIMA, AV BRIG;11789;LEOPOLDO COUTO MAGALHAES JR., RUA;34;ITAIM BIBI;2;0
D011300097;15967;PEDRO I, AV DOM;;;1319;;01/01/2013 13:23;2;QM;6;6; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15967;PEDRO I, AV DOM;;;12;BUTANTA;1;0
D011301298;2850;BARONESA, ES DA;;;200;;01/01/2013 14:40;2;CO;100;179; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2850;BARONESA, ES DA;;;42;JARDIM ANGELA;1;0
D011301630;6648;ESTADO DO CEARA, RUA;;;100;;01/01/2013 17:27;4;AT;69;29; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6648;ESTADO DO CEARA, RUA;;;75;SAO MATEUS;1;0
D011300170;14947;OLIMPIO DA SILVEIRA, AV GAL;;;528;;01/01/2013 17:40;2;CO;77;10; ; ;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14947;OLIMPIO DA SILVEIRA, AV GAL;;;19;CAPAO REDONDO;1;0
D011301690;26912;GABRIEL MENALT, RUA;;;53;;01/01/2013 18:11;2;QM;50;38; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26912;GABRIEL MENALT, RUA;;;50;LIMAO;0;1
D011301456;98965;CALIM EID, AV;;;439;;01/01/2013 20:10;4;AT;64;19; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98965;CALIM EID, AV;;;60;PENHA;1;0
D011300548;5309;CORIFEU DE AZEVEDO MARQUES, AV;42304;ELIS REGINA, PCA;0;;01/01/2013 20:17;2;CT;51;11; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5309;CORIFEU DE AZEVEDO MARQUES, AV;42304;ELIS REGINA, PCA;  ;;1;0
D011300335;12970;MARCOS LOPES, RUA;14155;MONTE APRAZIVEL, RUA;0;;01/01/2013 20:30;2;CO;96;8; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12970;MARCOS LOPES, RUA;14155;MONTE APRAZIVEL, RUA;53;MOEMA;1;0
D011301457;8413;GUARIUBA, RUA;;;338;;01/01/2013 20:30;2;CH;64;31; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8413;GUARIUBA, RUA;;;51;MANDAQUI;1;0
D011300684;19884;VOLUNTARIOS DA PATRIA, RUA;14916;OLAVO EGIDIO, RUA DR;0;;01/01/2013 21:08;2;CO;13;20; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14916;OLAVO EGIDIO, RUA DR;19884;VOLUNTARIOS DA PATRIA, RUA;71;SANTANA;1;0
D011301441;74827;TEJUGUACU, RUA;17670;FAVEIRA DO MATO, RUA;0;;01/01/2013 21:20;4;AT;63;24; ; ;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17670;FAVEIRA DO MATO, RUA;74827;TEJUGUACU, RUA;8;BELEM;1;0
D011301424;68464;PORCINO DOS SANTOS, AV;;;50;;01/01/2013 22:00;2;CO;62;112; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68464;PORCINO DOS SANTOS, AV;;;49;LIBERDADE;1;0
D011300418;7825;GASTAO LIBERAL PINTO, PCA DOM;;;0;NADA CONSTA ;01/01/2013 22:00;2;QD;15;30; ; ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7825;GASTAO LIBERAL PINTO, PCA DOM;;;28;ERMELINO MATARA;1;0
D011301692;98912;JOSE PINHEIRO BORGES, AV;;;1399;;01/01/2013 22:30;4;AT;62;32; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98912;JOSE PINHEIRO BORGES, AV;;;  ;;0;1
D011301667;15425;CANTIDIO SAMPAIO, AV DEP;;;2700;;02/01/2013 00:15;2;CO;77;38;B; ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15425;CANTIDIO SAMPAIO, AV DEP;;;  ;;1;1
D011300936;13177;MARIA CARLOTA, RUA;;;900;;02/01/2013 00:30;4;AT;10;30; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13177;MARIA CARLOTA, RUA;;;60;PENHA;1;0
D011301710;24563;JOAO VALERA GOMES, RUA;;;318;;02/01/2013 00:40;2;CO;47;30; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24563;JOAO VALERA GOMES, RUA;;;29;FREGUESIA DO O;0;1
D011301711;19931;WASHINGTON LUIS, AV;;;4959;;02/01/2013 01:45;2;CH;11;2; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19931;WASHINGTON LUIS, AV;;;  ;;2;1
D011301045;8955;IBITIRAMA, RUA;4926;CICLAMES, RUA DOS;0;;02/01/2013 05:45;4;AT;56;17; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4926;CICLAMES, RUA DOS;8955;IBITIRAMA, RUA;95;VILA PRUDENTE;1;0
D011301206;17772;SANT'ANNA, AV COMEN;;;0;PROXIMO  - EST  DO M';02/01/2013 06:30;2;CO;92;8; ; ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17772;SANT'ANNA, AV COMEN;;;29;FREGUESIA DO O;1;0
D011300137;543;ALCANTARA MACHADO, AV;;;260;;02/01/2013 06:54;2;CO;8;835; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;543;ALCANTARA MACHADO, AV;;;10;BRAS;6;0
D011300374;6238;NACOES UNIDAS, AV DAS;;;2000;;02/01/2013 07:40;2;CT;14;18; ; ;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13014;MARGINAL DO RIO PINHEIROS, AV;;;90;VILA LEOPOLDINA;1;0
D011300347;2235;ARMANDO DE ARRUDA PEREIRA, AV ENG;;;4365;;02/01/2013 08:00;4;AT;97;7;C; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2235;ARMANDO DE ARRUDA PEREIRA, AV ENG;;;37;JABAQUARA;2;0
D011300656;1039;AMAZONAS DA SILVA, RUA;6253;EDUARDO LEOPOLDO, RUA;0;;02/01/2013 08:45;2;CO;9;19; ; ;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1039;AMAZONAS DA SILVA, RUA;6253;EDUARDO LEOPOLDO, RUA;88;VILA GUILHERME;1;0
D011300054;8536;GUSMOES, RUA DOS;;;666;;02/01/2013 09:00;2;CH;3;1054; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8536;GUSMOES, RUA DOS;;;70;SANTA CECILIA;1;0
D011300375;6238;NACOES UNIDAS, AV DAS;;;0;ACESSO  - PTE EUSEBI;02/01/2013 09:15;2;CO;14;22; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13014;MARGINAL DO RIO PINHEIROS, AV;;;90;VILA LEOPOLDINA;1;0
D011300419;17003;REPUBLICA DO LIBANO, AV;3220;BENTO DE ANDRADE, RUA;0;;02/01/2013 09:30;2;CO;15;37; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3220;BENTO DE ANDRADE, RUA;17003;REPUBLICA DO LIBANO, AV;53;MOEMA;1;0
D011301442;9084;IMPERADOR, ES DO;46936;JACU-PESSEGO/NOVA TRABALHADORE, AV;0;;02/01/2013 10:00;2;CL;63;40; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9084;IMPERADOR, ES DO;46936;JACU-PESSEGO/NOVA TRABALHADORE, AV;8;BELEM;1;0
D011300138;543;ALCANTARA MACHADO, AV;10488;JOAO TOBIAS, RUA;0;;02/01/2013 10:00;2;CT;8;836; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;ALCANTARA MACHADO, AV;10488;JOAO TOBIAS, RUA;54;MOOCA;2;0
D011300251;19931;WASHINGTON LUIS, AV;;;7000;;02/01/2013 10:30;2;CO;27;23; ; ;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19931;WASHINGTON LUIS, AV;;;30;GRAJAU;1;0
D011301027;946;AMADEU BARBELINI, RUA CD;14396;NANA, RUA;0;;02/01/2013 11:15;2;CH;42;6; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;946;AMADEU BARBELINI, RUA CD;14396;NANA, RUA;74;SAO LUCAS;1;0
D011301712;2235;ARMANDO DE ARRUDA PEREIRA, AV ENG;;;7000;;02/01/2013 12:20;2;CH;97;11; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2235;ARMANDO DE ARRUDA PEREIRA, AV ENG;;;37;JABAQUARA;0;1
D011300461;21248;ALFREDO MENDES DA SILVA, RUA;8483;GUILHERME DUMONT VILARES, AV DR;0;;02/01/2013 12:20;2;CO;34;20; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8483;GUILHERME DUMONT VILARES, AV DR;21248;ALFREDO MENDES DA SILVA, RUA;96;VILA SONIA;1;0
D011300931;14270;MORVAN DIAS DE FIGUEIREDO, AV;;;0;NADA CONSTA ;02/01/2013 12:30;2;CO;90;900001; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29772;MARGINAL DO RIO TIETE, AV;;;0;NULL;1;0
D011301691;43408;ABEL FERREIRA, AV VER;32008;GABRIEL GRUPELLO, RUA;0;;02/01/2013 12:42;4;AT;29;14;C; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32008;GABRIEL GRUPELLO, RUA;43408;ABEL FERREIRA, AV VER;  ;;0;1
D011301188;15507;TEOTONIO VILELA, AV SEN;;;5651;;02/01/2013 13:36;2;CO;85;34; ; ;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15507;TEOTONIO VILELA, AV SEN;;;23;CIDADE DUTRA;1;0
D011301073;43408;ABEL FERREIRA, AV VER;14196;MONTEMAGNO, AV;0;;02/01/2013 14:22;2;CL;58;7; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14196;MONTEMAGNO, AV;43408;ABEL FERREIRA, AV VER;1;AGUA RASA;1;0
D011301275;9220;INTERLAGOS, AV;;;2685;;02/01/2013 15:00;2;CO;99;11;C; ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9220;INTERLAGOS, AV;;;16;CAMPO GRANDE;1;0
D011301609;17824;SAPOPEMBA, AV;;;14022;;02/01/2013 15:30;2;QM;55;900001;C; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17824;SAPOPEMBA, AV;;;33;IPIRANGA;1;0
