id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300001;1;AU;M;21;SI;X;BR;5
D011300002;1;MO;M;24;SI;X;BR;4
D011300002;2;AU;M;33;SI;X;BR;3
D011300003;1;MO;M;35;SI;X;BR;3
D011300003;2;AU;X;SI;SI;X;BR;8
D011300004;1;MO;M;33;SI;X;BR;8
D011300004;2;AU;X;SI;SI;X;BR;8
D011300005;1;AU;F;28;SI;X;BR;5
D011300006;1;CM;M;49;SI;X;BR;3
D011300006;2;AU;M;21;IN;X;BR;3
D011300007;1;AU;M;SI;SI;X;BR;8
D011300008;1;CM;M;25;SI;X;BR;3
D011300009;1;MO;X;SI;SI;X;BR;8
D011300010;1;MO;M;21;SI;X;BR;7
D011300010;2;AU;F;39;SI;X;BR;5
D011300011;1;SI;X;SI;SI;X;BR;8
D011300012;1;CM;M;41;SI;X;BR;3
D011300013;1;SI;F;SI;SI;X;BR;8
D011300014;1;OU;M;53;HA;X;BR;3
D011300015;1;OU;M;48;HA;X;BR;3
D011300015;2;AU;M;28;SI;X;BR;3
D011300016;1;ON;M;47;SI;X;BR;5
D011300017;1;AU;M;27;SI;X;BR;8
D011300018;1;AU;M;40;SI;X;BR;5
D011300019;1;MO;M;28;SI;X;BR;5
D011300020;1;CA;M;29;SI;X;BR;5
D011300021;1;AU;M;68;SI;X;BR;8
D011300021;2;BI;M;42;NE;X;BR;5
D011300023;1;AU;F;SI;SI;X;BR;8
D011300023;2;AU;F;28;SI;X;BR;7
D011300024;1;MO;M;30;SI;X;BR;5
D011300025;1;MO;M;23;SI;X;BR;5
D011300025;2;CA;M;54;SI;X;BR;3
D011300026;1;MO;M;25;SI;X;BR;5
D011300027;1;AU;M;51;SI;X;BR;5
D011300027;2;MO;M;25;SI;X;BR;5
D011300028;1;AU;M;57;SI;X;BR;7
D011300029;1;AU;M;33;SI;X;BR;7
D011300030;1;AU;M;30;SI;X;BR;5
D011300031;1;MO;F;34;SI;X;BR;5
D011300032;1;MO;M;35;SI;X;BR;5
D011300033;1;MO;M;35;SI;X;BR;8
D011300033;2;AU;M;53;SI;X;BR;3
D011300034;1;MO;M;SI;SI;X;BR;8
D011300034;2;MO;M;40;SI;X;BR;5
D011300035;1;AU;M;SI;SI;X;BR;8
D011300036;1;MO;M;26;SI;X;BR;5
D011300037;1;AU;F;43;SI;X;BR;7
D011300038;1;MO;M;23;SI;X;BR;3
D011300040;1;AU;X;SI;SI;X;BR;8
D011300042;1;AU;M;25;SI;X;BR;5
D011300043;1;MO;M;39;SI;X;BR;3
D011300044;1;OU;M;31;HA;X;BR;3
D011300045;1;MO;F;33;SI;X;BR;8
D011300045;2;BI;M;63;NE;X;BR;7
D011300046;1;AU;M;28;SI;X;BR;6
D011300046;2;MO;M;44;SI;X;BR;3
D011300047;1;CM;M;28;SI;X;BR;5
D011300048;1;MO;M;21;SI;X;BR;5
D011300049;1;AU;M;32;SI;X;BR;3
D011300049;2;BI;M;40;NE;X;BR;5
D011300050;1;AU;M;48;SI;X;BR;3
D011300050;2;MO;M;65;SI;X;BR;8
D011300051;1;ON;X;SI;SI;X;BR;8
D011300053;1;MO;M;44;SI;X;BR;3
D011300054;1;MO;M;73;SI;X;BR;3
D011300055;1;OU;M;45;HA;X;BR;3
D011300056;1;MO;M;25;SI;X;BR;5
D011300056;2;AU;X;SI;SI;X;BR;8
D011300057;1;AU;M;50;SI;X;BR;5
D011300058;1;MO;M;27;SI;X;BR;3
D011300058;2;OU;M;40;HA;X;BR;5
D011300058;3;CM;M;62;SI;X;BR;5
D011300059;1;MO;M;32;HA;X;BR;3
D011300059;2;AU;M;48;SI;X;BR;5
D011300060;1;MO;M;29;SI;X;BR;5
D011300060;2;AU;F;19;SI;X;BR;5
D011300061;1;AU;M;33;SI;X;BR;7
D011300062;1;AU;X;SI;SI;X;BR;8
D011300063;1;MO;M;27;SI;X;BR;5
D011300063;2;AU;X;SI;SI;X;BR;8
D011300064;1;MO;M;26;IN;X;BR;4
D011300064;2;AU;M;33;SI;X;BR;6
D011300064;3;AU;M;26;SI;X;BR;6
D011300065;1;OU;M;40;HA;X;BR;3
D011300066;1;AU;M;32;SI;X;BR;7
D011300066;2;AU;M;41;SI;X;BR;5
D011300066;3;AU;F;61;SI;X;BR;8
D011300067;1;ON;M;SI;SI;X;BR;7
D011300068;1;MO;M;35;SI;X;BR;5
D011300069;1;MO;M;33;SI;X;BR;7
D011300069;2;AU;M;SI;SI;X;BR;8
D011300070;1;AU;F;76;SI;X;BR;3
D011300070;2;AU;M;36;SI;X;BR;5
D011300072;1;MO;M;35;SI;X;BR;5
D011300072;2;AU;F;24;SI;X;BR;7
D011300073;1;AU;F;28;SI;X;BR;7
D011300073;2;AU;F;48;SI;X;BR;7
D011300074;1;CM;F;SI;SI;X;BR;8
D011300075;1;MO;M;31;HA;X;BR;5
D011300076;1;OU;M;62;HA;X;BR;8
D011300076;2;CM;M;18;IN;X;BR;5
D011300077;1;AU;M;22;SI;X;BR;5
D011300078;1;MO;F;24;SI;X;BR;7
D011300079;1;AU;M;58;SI;X;BR;4
D011300080;1;AU;M;61;SI;X;BR;5
D011300081;1;MO;M;44;SI;X;BR;3
D011300081;2;AU;M;65;SI;X;BR;7
D011300082;1;MO;M;26;SI;X;BR;3
D011300083;1;AU;M;58;SI;X;BR;2
D011300084;1;MO;M;26;SI;X;BR;5
D011300084;2;AU;M;32;SI;X;BR;7
D011300084;3;AU;M;53;SI;X;BR;6
D011300085;1;MO;M;55;SI;X;BR;7
D011300085;2;CM;M;31;SI;X;BR;8
D011300086;1;AU;M;36;SI;X;BR;5
D011300087;1;AU;M;25;SI;X;BR;5
D011300087;2;BI;M;31;NE;X;BR;7
D011300088;1;CM;M;47;SI;X;BR;5
D011300089;1;SI;X;SI;SI;X;BR;8
D011300090;1;OU;M;37;SI;X;BR;5
D011300091;1;AU;M;29;SI;X;BR;5
D011300091;2;MO;M;41;SI;X;BR;2
D011300092;1;AU;F;SI;SI;X;BR;8
D011300092;2;MO;M;36;SI;X;BR;7
D011300093;1;MO;X;SI;SI;X;BR;8
D011300094;1;MO;M;28;SI;X;BR;5
D011300095;1;MO;M;23;SI;X;BR;8
D011300097;1;MO;F;48;SI;X;BR;5
D011300098;1;AU;M;80;SI;X;BR;8
D011300098;2;AU;F;71;SI;X;BR;8
D011300099;1;MO;F;41;SI;X;BR;5
D011300100;1;MO;M;25;SI;X;BR;8
D011300100;2;MO;M;41;SI;X;BR;5
D011300101;1;AU;F;44;SI;X;BR;5
D011300101;2;MO;M;19;SI;X;BR;5
D011300102;1;AU;F;69;SI;X;BR;5
D011300102;2;MO;M;30;SI;X;BR;5
D011300103;1;AU;M;20;SI;X;BR;5
D011300104;1;CA;M;46;SI;X;BR;3
D011300104;2;AU;F;44;SI;X;BR;6
D011300105;1;CM;M;44;SI;X;BR;2
D011300106;1;AU;F;42;SI;X;BR;8
D011300107;1;CM;M;28;SI;X;BR;5
D011300107;2;MO;M;29;SI;X;BR;8
D011300108;1;AU;M;58;SI;X;BR;2
D011300108;2;MO;M;37;SI;X;BR;3
D011300109;1;AU;M;20;SI;X;BR;5
D011300109;2;MO;M;37;SI;X;BR;7
D011300110;1;AU;F;38;SI;X;BR;7
D011300110;2;AU;M;19;SI;X;BR;5
D011300111;1;AU;F;53;SI;X;BR;7
D011300112;1;AU;M;33;SI;X;BR;7
D011300112;2;MO;M;38;SI;X;BR;3
D011300113;1;AU;M;38;SI;X;BR;3
D011300113;2;MO;M;22;SI;X;BR;5
D011300113;3;MO;M;27;SI;X;BR;5
D011300114;1;AU;F;19;SI;X;BR;5
D011300114;2;MO;M;44;SI;X;BR;7
D011300115;1;AU;F;48;SI;X;BR;7
D011300115;2;MO;M;33;SI;X;BR;5
D011300116;1;AU;F;43;SI;X;BR;7
D011300116;2;MO;M;38;SI;X;BR;2
D011300117;1;AU;F;32;SI;X;BR;7
D011300117;2;MO;M;24;SI;X;BR;3
D011300118;1;CM;M;41;SI;X;BR;3
D011300118;2;CM;M;36;SI;X;BR;5
D011300118;3;MO;M;27;SI;X;BR;7
D011300119;1;MO;M;29;SI;X;BR;5
D011300119;2;MC;M;42;SI;X;BR;4
D011300120;1;CA;M;42;SI;X;BR;3
D011300121;1;MO;M;43;SI;X;BR;5
D011300122;1;MO;M;29;SI;X;BR;3
D011300122;2;CM;M;66;SI;X;BR;3
D011300123;1;MO;M;31;SI;X;BR;5
D011300123;2;AU;M;64;SI;X;BR;5
D011300124;1;AU;M;SI;SI;X;BR;8
D011300125;1;AU;M;31;SI;X;BR;7
D011300125;2;BI;M;22;NE;X;BR;8
D011300126;1;AU;M;59;SI;X;BR;8
D011300126;2;MO;X;SI;SI;X;BR;8
D011300127;1;SI;X;SI;SI;X;BR;8
D011300128;1;AU;F;37;SI;X;BR;7
D011300128;2;AU;M;52;SI;X;BR;5
D011300129;1;MO;M;39;SI;X;BR;2
D011300129;2;MO;M;41;SI;X;BR;3
D011300130;1;SI;X;SI;SI;X;BR;8
D011300131;1;MO;F;36;SI;X;BR;5
D011300132;1;AU;M;26;SI;X;BR;5
D011300132;2;AU;M;31;SI;X;BR;7
D011300133;1;AU;M;30;HA;X;BR;7
D011300133;2;AU;M;25;SI;X;BR;8
D011300134;1;ON;M;49;SI;X;BR;3
