id_acidente;id_vitima;id_veiculo;sexo;idade;tipo_vitima;classificacao;tipo_veiculo;estado_alcoolizacao;escolaridade;data_obito
D011300001;1;1;M;SI;PD;F;AU;BR;8;          
D011300002;1;1;M;24;CD;F;MO;BR;4;          
D011300003;1;1;M;35;CD;F;MO;BR;3;          
D011300004;1;1;M;33;CD;F;MO;BR;8;          
D011300005;1;1;M;20;PD;F;AU;BR;5;          
D011300006;1;1;F;50;PS;F;CM;BR;7;          
D011300006;2;2;M;21;CD;F;AU;BR;3;          
D011300006;3;2;M;SI;PS;F;AU;BR;8;          
D011300007;1;1;F;75;PD;F;AU;BR;8;          
D011300008;1;1;F;66;PD;F;CM;BR;8;          
D011300009;1;1;M;56;PD;F;MO;SA;8;          
D011300010;1;1;F;20;PS;F;MO;BR;5;          
D011300011;1;1;M;41;PD;F;SI;BR;8;          
D011300012;1;1;F;37;PS;F;CM;BR;5;          
D011300013;1;1;F;SI;PD;F;SI;BR;8;          
D011300014;1;1;M;31;PD;F;OU;SA;5;          
D011300014;2;1;M;33;PD;F;OU;SA;3;          
D011300015;1;1;F;56;PS;F;OU;BR;5;          
D011300016;1;1;F;50;PS;F;ON;BR;2;          
D011300017;1;1;M;17;PD;F;AU;BR;3;          
D011300018;1;1;M;28;PD;F;AU;BR;3;          
D011300019;1;1;F;58;PD;F;MO;BR;8;          
D011300020;1;1;M;80;PD;F;CA;BR;3;          
D011300021;1;1;M;68;CD;F;AU;BR;8;          
D011300021;2;2;M;42;CD;F;BI;BR;5;          
D011300023;1;2;F;28;CD;F;AU;BR;7;          
D011300024;1;1;M;30;CD;F;MO;BR;5;          
D011300024;2;1;F;26;PS;F;MO;BR;5;          
D011300025;1;1;M;23;CD;F;MO;BR;5;          
D011300026;1;1;M;45;PD;F;MO;BR;3;          
D011300027;1;2;M;25;CD;F;MO;BR;5;          
D011300027;2;2;F;27;PS;F;MO;BR;5;          
D011300028;1;1;M;SI;PD;F;AU;BR;8;          
D011300029;1;1;M;22;PS;F;AU;BR;8;          
D011300030;1;1;M;SI;PD;F;AU;BR;8;          
D011300031;1;1;F;34;CD;F;MO;BR;5;          
D011300032;1;1;M;45;PS;F;MO;BR;3;          
D011300033;1;1;M;35;CD;F;MO;BR;8;          
D011300034;1;2;M;40;CD;F;MO;BR;5;          
D011300035;1;1;M;25;PS;F;AU;BR;3;          
D011300036;1;1;M;67;PD;F;MO;BR;8;          
D011300037;1;1;F;43;CD;F;AU;BR;7;          
D011300038;1;1;M;23;CD;F;MO;BR;3;          
D011300040;1;1;M;33;SI;F;AU;BR;5;          
D011300042;1;1;M;48;PD;F;AU;BR;3;          
D011300043;1;1;M;48;PD;F;MO;BR;7;          
D011300044;1;1;M;44;PD;F;OU;BR;2;          
D011300045;1;1;F;33;CD;F;MO;BR;8;          
D011300045;2;2;M;63;CD;F;BI;BR;7;          
D011300046;1;2;F;44;PS;F;MO;BR;3;          
D011300047;1;1;M;51;PD;F;CM;BR;8;          
D011300048;1;1;M;39;PD;F;MO;BR;2;          
D011300049;1;2;M;40;CD;F;BI;BR;5;          
D011300050;1;2;M;65;CD;F;MO;BR;8;          
D011300050;2;2;F;34;PS;F;MO;BR;8;          
D011300051;1;1;M;SI;PD;F;ON;BR;8;          
D011300053;1;1;F;55;PD;F;MO;BR;3;          
D011300054;1;1;M;73;CD;F;MO;BR;3;          
D011300055;1;1;M;30;PD;F;OU;BR;3;          
D011300056;1;1;M;25;CD;F;MO;BR;5;          
D011300057;1;1;F;47;PD;F;AU;BR;5;          
D011300058;1;1;M;27;CD;F;MO;BR;3;          
D011300059;1;1;M;32;CD;F;MO;BR;3;          
D011300059;2;1;F;51;PS;F;MO;BR;8;          
D011300060;1;1;M;29;CD;F;MO;BR;5;          
D011300061;1;1;F;16;PD;F;AU;BR;3;          
D011300062;1;1;M;35;PD;F;AU;BR;8;          
D011300063;1;1;M;27;CD;F;MO;BR;5;          
D011300064;1;1;F;21;PS;F;MO;BR;2;          
D011300065;1;1;F;65;PD;F;OU;BR;8;          
D011300066;1;1;M;32;CD;F;AU;BR;7;          
D011300067;1;1;F;61;PS;F;ON;BR;5;          
D011300068;1;1;M;35;CD;F;MO;BR;5;          
D011300069;1;1;M;33;CD;F;MO;BR;7;          
D011300070;1;1;F;76;CD;F;AU;BR;3;          
D011300072;1;1;M;35;CD;F;MO;BR;5;          
D011300073;1;1;F;28;CD;F;AU;BR;7;          
D011300074;1;1;M;19;PD;F;CM;BR;3;          
D011300075;1;1;M;31;CD;F;MO;BR;5;          
D011300076;1;1;M;62;CD;F;OU;BR;8;          
D011300077;1;1;F;55;PD;F;AU;BR;3;          
D011300078;1;1;F;SI;PD;F;MO;BR;8;          
D011300079;1;1;F;85;PD;F;AU;BR;5;          
D011300079;2;1;F;64;PD;F;AU;BR;7;          
D011300080;1;1;F;22;PD;F;AU;BR;4;          
D011300081;1;1;M;44;CD;F;MO;BR;3;          
D011300082;1;1;M;26;CD;F;MO;BR;3;          
D011300083;1;1;F;74;PD;F;AU;BR;7;          
D011300084;1;1;M;26;CD;F;MO;BR;5;          
D011300085;1;1;M;55;CD;F;MO;BR;7;          
D011300086;1;1;F;17;PD;F;AU;BR;3;          
D011300087;1;2;M;31;CD;F;BI;BR;7;          
D011300088;1;1;F;42;PD;F;CM;BR;8;          
D011300088;2;1;M;SI;PD;F;CM;BR;8;          
D011300089;1;1;M;SI;PD;F;SI;BR;8;          
D011300090;1;1;F;36;PD;F;OU;BR;2;          
D011300091;1;2;M;41;CD;F;MO;BR;2;          
D011300092;1;2;M;36;CD;F;MO;BR;7;          
D011300093;1;1;M;19;PD;F;MO;BR;3;          
D011300094;1;1;M;28;CD;F;MO;BR;5;          
D011300095;1;1;M;23;CD;F;MO;BR;8;          
D011300097;1;1;F;48;CD;F;MO;BR;5;          
D011300098;1;1;M;80;CD;F;AU;BR;8;          
D011300098;2;2;F;71;CD;F;AU;BR;8;          
D011300098;3;2;M;19;PS;F;AU;BR;3;          
D011300099;1;1;F;41;CD;F;MO;BR;5;          
D011300100;1;2;M;41;CD;F;MO;BR;5;          
D011300101;1;2;M;19;CD;F;MO;BR;5;          
D011300102;1;2;M;25;PS;F;MO;BR;8;          
D011300103;1;1;F;67;PD;F;AU;BR;3;          
D011300104;1;2;F;44;CD;F;AU;BR;6;          
D011300105;1;1;F;59;PD;F;CM;BR;3;          
D011300106;1;1;F;42;CD;F;AU;BR;8;          
D011300107;1;2;M;29;CD;F;MO;BR;8;          
D011300108;1;2;M;37;CD;F;MO;BR;3;          
D011300109;1;2;M;37;CD;F;MO;BR;7;          
D011300110;1;2;F;19;PS;F;AU;BR;8;          
D011300111;1;1;F;25;PD;F;AU;BR;5;          
D011300112;1;2;F;42;PS;F;MO;BR;7;          
D011300113;1;2;M;22;CD;F;MO;BR;5;          
D011300114;1;1;F;19;CD;F;AU;BR;5;          
D011300114;2;2;M;44;CD;F;MO;BR;7;          
D011300115;1;2;M;33;CD;F;MO;BR;5;          
D011300116;1;2;M;38;CD;F;MO;BR;2;          
D011300117;1;2;M;24;CD;F;MO;BR;3;          
D011300118;1;3;M;27;CD;F;MO;BR;7;          
D011300119;1;1;M;29;CD;F;MO;BR;5;          
D011300120;1;1;M;66;PD;F;CA;BR;8;          
D011300121;1;1;M;43;CD;F;MO;BR;5;          
D011300122;1;1;M;29;CD;F;MO;BR;3;          
D011300123;1;1;M;31;CD;F;MO;BR;5;          
D011300124;1;1;F;25;PD;F;AU;BR;8;          
D011300125;1;2;M;22;CD;F;BI;BR;8;          
D011300126;1;2;X;SI;CD;F;MO;BR;8;          
