,Kontengruppe,Profitcenter,Profitcenter-Bezeichnung,Art,HH Art,PSP-Element,Kostenart,Kostenart Beschreibung,Betrag,Betrag_Typ,Jahr
0,Zuwendungen und allgemeine Umlagen,104,"Finanzmanagement, Rechnungsw.",1.0,Erträge ,,,,"-206,41",Ist,2015
1,öffentlich-rechtliche Leistungsentgelte,104,"Finanzmanagement, Rechnungsw.",1.0,,,,,"-2.487,50",Ist,2015
2,Privatrechtliche Leistungsentgelte,104,"Finanzmanagement, Rechnungsw.",1.0,,,,,"-19.306,27",Ist,2015
3,sonstige ordentliche Erträge,104,"Finanzmanagement, Rechnungsw.",1.0,,,,,"-358.573,30",Ist,2015
4,Erträge aus internen Leistungsbeziehungen,104,"Finanzmanagement, Rechnungsw.",4.0,Erträge (interne Leistungsbeziehungen) ,,,,"-48.098,00",Ist,2015
5,Personalaufwendungen,104,"Finanzmanagement, Rechnungsw.",2.0,Aufwendungen,,,,"1.891.919,92",Ist,2015
6,Versorgungsaufwendungen,104,"Finanzmanagement, Rechnungsw.",2.0,,,,,"194.261,19",Ist,2015
7,Aufwendungen für Sach- und Dienstleistungen,104,"Finanzmanagement, Rechnungsw.",2.0,,,,,"94.134,33",Ist,2015
8,sonstige ordentliche Aufwendungen,104,"Finanzmanagement, Rechnungsw.",2.0,,,,,"186.131,60",Ist,2015
9,Bilanzielle Aufwendungen,104,"Finanzmanagement, Rechnungsw.",2.0,,,,,"7.777,59",Ist,2015
10,Privatrechtliche Leistungsentgelte,105,Rechnungsprüfung,1.0,,,,,0,Ist,2015
11,sonstige ordentliche Erträge,105,Rechnungsprüfung,1.0,,,,,0,Ist,2015
12,Erträge aus internen Leistungsbeziehungen,105,Rechnungsprüfung,4.0,,,,,"-6.516,00",Ist,2015
13,Personalaufwendungen,105,Rechnungsprüfung,2.0,,,,,"550.502,63",Ist,2015
14,Versorgungsaufwendungen,105,Rechnungsprüfung,2.0,,,,,"185.678,90",Ist,2015
15,Aufwendungen für Sach- und Dienstleistungen,105,Rechnungsprüfung,2.0,,,,,0,Ist,2015
16,sonstige ordentliche Aufwendungen,105,Rechnungsprüfung,2.0,,,,,"85.268,55",Ist,2015
17,Bilanzielle Aufwendungen,105,Rechnungsprüfung,2.0,,,,,"1.162,55",Ist,2015
18,Zuwendungen und allgemeine Umlagen,106,Gleichstellung,1.0,,,,,0,Ist,2015
