gene1,gene2,margin,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17
94.0,3064.0,2.288918911605362,0.49995541107590247,0.716608152636585,-3.999417837994462,6.065994853549773e-13,6.063405644550272e-13,6.0634146861573e-13,6.063433863465317e-13,6.06354191325519e-13,6.062479251303227e-13,6.063543964111354e-13,6.064997554267012e-13,6.06339491548678e-13,6.063387819690053e-13,6.063395321571715e-13,6.063394560454658e-13,6.063789561877669e-13,6.063436793625975e-13,6.063396895923249e-13
815.0,2279.0,2.011218455309657,0.5686032062102416,0.8158220564907457,-4.992089257377098,4.2112965193073e-12,4.212412254594561e-12,4.211275040100343e-12,4.211310694907167e-12,4.211413069355772e-12,4.211344774962954e-12,4.211478617061606e-12,4.2112793772891224e-12,4.211249377555031e-12,4.212820393185548e-12,4.211261507084103e-12,4.211253706129086e-12,4.211274092535793e-12,4.211375412468601e-12,4.211261529251613e-12
1019.0,3064.0,1.9040113858109509,0.7267570022187062,0.7584151851052079,-5.3743484032597,6.168252715902553e-13,6.168069250565887e-13,6.16802323722725e-13,6.168067642068208e-13,6.168071333082518e-13,6.170423206421457e-13,6.168010390516508e-13,6.168163967215514e-13,6.168051049752855e-13,6.169623308016093e-13,6.168015104149265e-13,6.167996456662838e-13,6.169035324446404e-13,6.167995617834359e-13,6.16801652015607e-13
1835.0,3064.0,1.826066880228283,0.6789440985854385,0.8594229300556359,-4.869895496987552,1.1142024048956353e-12,1.1141610568697022e-12,1.114338894218205e-12,1.1141671093513817e-12,1.1145165669760803e-12,1.1141957732715926e-12,1.114160731042393e-12,1.1142328682706125e-12,1.11416019468627e-12,1.1141619079325054e-12,1.1141603555405357e-12,1.1141615021369418e-12,1.1141622868616951e-12,1.114701673920837e-12,1.114161690222536e-12
3064.0,3103.0,1.7502948465295864,0.8575373643049959,0.7551901139700108,-5.602632107114352,1.051162328400123e-12,1.0511496629533982e-12,1.0511504996786152e-12,1.0511504062615414e-12,1.051233159538176e-12,1.0516615480577768e-12,1.0511605009416353e-12,1.0515214679890037e-12,1.0511484133304707e-12,1.0511482624821177e-12,1.051148073028147e-12,1.0511471382548726e-12,1.0511468413836798e-12,1.0514096886714595e-12,1.051143737508954e-12
1021.0,3064.0,1.728609126979115,0.6992159407740626,0.9218161698021937,-5.294586221655172,1.5148971202895864e-13,1.5147762453547984e-13,1.5147776160357572e-13,1.5147787029869159e-13,1.5147822692875927e-13,1.5155740958591978e-13,1.5147752759691724e-13,1.5154221789494995e-13,1.5147756375712418e-13,1.5148402248697721e-13,1.5147750759530875e-13,1.5147752307891812e-13,1.515017645343745e-13,1.5147535786938379e-13,1.5147745881672975e-13
857.0,2869.0,1.7229518778499502,0.9042717909532557,0.7278363454865778,-4.419053682035991,1.3634363521110862e-11,1.3634541757713972e-11,1.3634308351676007e-11,1.3634315613196406e-11,1.3642530743477861e-11,1.363451409587922e-11,1.363435453768353e-11,1.3634355035256243e-11,1.3639821332777795e-11,1.363436237199321e-11,1.3634330121768367e-11,1.3634607592841081e-11,1.3637292199771128e-11,1.363407903109839e-11,1.3634369083825415e-11
738.0,1710.0,1.7052115288011016,0.624651760955814,0.9926963190695021,-3.875801520612113,5.732142611720211e-13,5.732407517409011e-13,5.732133322488976e-13,5.732132793139008e-13,5.734743313755972e-13,5.73223435495345e-13,5.732503722111646e-13,5.73356511185065e-13,5.732155451870376e-13,5.73237213426801e-13,5.732202579222258e-13,5.732126481764053e-13,5.732130131408217e-13,5.733718093272553e-13,5.732124153767293e-13
738.0,1708.0,1.698396433630325,0.5540618263906153,1.0390925737062682,-4.325405777557023,4.1042244341765694e-13,4.1069372110695913e-13,4.104154618935009e-13,4.104157083745697e-13,4.1039245270985705e-13,4.1041713511961385e-13,4.1042062464992947e-13,4.104232822881281e-13,4.1043367744501745e-13,4.104173304097445e-13,4.105038246116816e-13,4.104150436725277e-13,4.1041509417662807e-13,4.1056886685881217e-13,4.1041506266662374e-13
1708.0,3064.0,1.6688299857326696,0.7575584199915801,0.9286410989372247,-5.81154647520316,3.5521331530234634e-12,3.549680365769573e-12,3.5496799423459502e-12,3.5496803776806117e-12,3.549682661151622e-12,3.5496912678217076e-12,3.5496806568736623e-12,3.551312963915259e-12,3.549684302903771e-12,3.549681036922415e-12,3.5496819894435863e-12,3.5496799786927833e-12,3.5503260552168884e-12,3.5498610273345393e-12,3.5496793544210226e-12
738.0,1726.0,1.646928224654735,0.7766091128245697,0.9335962406807621,-4.978748789281887,1.1170665766216252e-12,1.1171163313320485e-12,1.1170775767319245e-12,1.1170695816550404e-12,1.117123783269683e-12,1.1176198085382303e-12,1.1170636713100545e-12,1.1173455852460683e-12,1.1170614695854915e-12,1.1170893940873502e-12,1.1170602539448755e-12,1.117056575389508e-12,1.117088733178235e-12,1.11742896680965e-12,1.1170608348332103e-12
537.0,1619.0,1.6235845111039227,-1.010693802566808,-0.704225369147839,5.477830031278574,1.5520899616400824e-12,1.551375267584045e-12,1.5517406394610521e-12,1.551368771769462e-12,1.5513735332325935e-12,1.551381889928207e-12,1.55137309723748e-12,1.5513857748366511e-12,1.5523404303402135e-12,1.551376955485376e-12,1.5513920749898027e-12,1.5513784125274998e-12,1.5513755491917909e-12,1.5514373893241936e-12,1.551386319308592e-12
218.0,1481.0,1.609927678007607,0.6699752210558785,-1.0461463530887523,-2.0646577132162736,9.002561322150343e-13,9.002772350068618e-13,9.002557027481335e-13,9.002747916414386e-13,9.003623447450918e-13,9.007527911229818e-13,9.002571984217891e-13,9.002602738118138e-13,9.00259811067618e-13,9.002547261522842e-13,9.002548165578778e-13,9.002592791140862e-13,9.002547533365023e-13,9.008918367729951e-13,9.002546334425016e-13
80.0,3064.0,1.6057195783581428,0.7752632162340399,0.9748617903004667,-4.806329774141411,3.092068329289555e-12,3.091966643701713e-12,3.0919687809297758e-12,3.0919721480392865e-12,3.0919854340334947e-12,3.0941483396318576e-12,3.0919668228474753e-12,3.0934447338159453e-12,3.0919674027661735e-12,3.0920024967826955e-12,3.0919640315405603e-12,3.0927916977243146e-12,3.0919585556810575e-12,3.0919593759484047e-12,3.0919471794667135e-12
