Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca1_x_braca2, 2942, 3156, 0.1, 0.001, 10.0, 0.466666666667
braca1_x_not_braca1, 1899, 2470, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2482, 775, 0.1, 1000.0, 0.1, 0.337272727273
braca1_x_braca2, 2549, 2234, 0.1, 3.98107170553, 10.0, 0.201333333333
braca1_x_not_braca1, 1055, 890, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 3094, 347, 0.1, 3.98107170553, 0.1, 0.272727272727
braca1_x_braca2, 645, 1727, 0.1, 1000.0, 0.01, 0.274666666667
braca1_x_not_braca1, 2675, 2032, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2107, 2262, 0.1, 63.095734448, 1.0, 0.270909090909
braca1_x_braca2, 128, 1202, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 1420, 3036, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1490, 2188, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 294, 497, 0.1, 3.98107170553, 0.1, 0.130666666667
braca1_x_not_braca1, 1000, 1652, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1251, 1555, 0.1, 3.98107170553, 100.0, 0.338181818182
braca1_x_braca2, 1618, 660, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 1260, 2959, 0.1, 63.095734448, 0.1, 0.293636363636
braca2_x_not_braca2, 2888, 2751, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2646, 3110, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 193, 2655, 0.1, 3.98107170553, 1.0, 0.276363636364
braca2_x_not_braca2, 1081, 1426, 0.1, 1000.0, 0.01, 0.254545454545
braca1_x_braca2, 2414, 1467, 0.1, 3.98107170553, 0.01, 0.297333333333
braca1_x_not_braca1, 1627, 2440, 0.1, 3.98107170553, 1.0, 0.185454545455
braca2_x_not_braca2, 476, 2551, 0.1, 3.98107170553, 10.0, 0.325454545455
braca1_x_braca2, 3014, 2861, 0.1, 3.98107170553, 0.1, 0.158666666667
braca1_x_not_braca1, 1020, 2609, 0.1, 3.98107170553, 0.1, 0.215454545455
braca2_x_not_braca2, 1588, 1518, 0.1, 3.98107170553, 10.0, 0.214545454545
braca1_x_braca2, 1559, 2040, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 2180, 1283, 0.1, 1000.0, 0.01, 0.242727272727
braca2_x_not_braca2, 127, 2851, 0.1, 3.98107170553, 1.0, 0.279090909091
braca1_x_braca2, 2605, 977, 0.1, 3.98107170553, 1.0, 0.305333333333
braca1_x_not_braca1, 1921, 1001, 0.1, 3.98107170553, 1.0, 0.231818181818
braca2_x_not_braca2, 895, 765, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2653, 218, 0.1, 3.98107170553, 0.01, 0.2
braca1_x_not_braca1, 2966, 520, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1018, 1884, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 3162, 772, 0.1, 63.095734448, 0.01, 0.350666666667
braca1_x_not_braca1, 2783, 1975, 0.1, 3.98107170553, 100.0, 0.318181818182
braca2_x_not_braca2, 1621, 951, 0.1, 63.095734448, 1.0, 0.260909090909
braca1_x_braca2, 1110, 2247, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 968, 966, 0.1, 63.095734448, 10.0, 0.255454545455
braca2_x_not_braca2, 174, 2765, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 57, 839, 0.1, 63.095734448, 10.0, 0.261333333333
braca1_x_not_braca1, 813, 2476, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1748, 1144, 0.1, 3.98107170553, 1.0, 0.236363636364
braca1_x_braca2, 1634, 1742, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 291, 767, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2042, 1296, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1111, 1241, 0.1, 3.98107170553, 1.0, 0.204
braca1_x_not_braca1, 930, 1447, 0.1, 3.98107170553, 10.0, 0.353636363636
braca2_x_not_braca2, 2232, 1200, 0.1, 1000.0, 0.01, 0.280909090909
braca1_x_braca2, 2905, 746, 0.1, 0.001, 1.0, 0.466666666667
braca1_x_not_braca1, 1669, 758, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2455, 2108, 0.1, 63.095734448, 0.1, 0.230909090909
braca1_x_braca2, 2536, 2380, 0.1, 3.98107170553, 1.0, 0.426666666667
braca1_x_not_braca1, 3200, 2806, 0.1, 63.095734448, 10.0, 0.346363636364
braca2_x_not_braca2, 230, 2846, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 702, 1659, 0.1, 3.98107170553, 1.0, 0.342666666667
braca1_x_not_braca1, 2543, 2712, 0.1, 1000.0, 0.1, 0.309090909091
braca2_x_not_braca2, 1210, 899, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 883, 1062, 0.1, 3.98107170553, 1.0, 0.358666666667
